county,state,max_cases,avg_growth_rate,max_growth_rate,total_population,num_deaths,percent_smokers,percent_vaccinated,income_ratio,population_density_per_sqmi,percent_fair_or_poor_health,percent_unemployed_CHR,violent_crime_rate,chlamydia_rate,teen_birth_rate,total_cases,deaths_per_100k,cases_per_100k
Arlington,Virginia,6535,0.027223366564715957,0.6,226092,1077,12.329356362,51,3.9137217976,8698.59622382187,11.294389204,1.9957817031,149.40293038,431.1,1011.7810118,2890.4162907135146,476.3547582400085,2890.4162907135146
Armstrong,Pennsylvania,1984,0.026784250132157184,0.5,67512,1110,18.726868837,41,4.3523997975,103.359602492159,16.276178514,5.0236406619,108.06592021,190.4,2361.3132783,2938.736817158431,1644.1521507287594,2938.736817158431
Aroostook,Maine,173,0.018052548688727018,0.5,69405,1051,18.592721462,39,5.0486943819,10.4038546403531,17.492794482,4.8126105839,120.42686244,230.6,2032.3159785000003,249.26158057776817,1514.3001224695627,249.26158057776817
Ascension,Louisiana,6074,0.02758370705004556,0.75,117009,1263,18.155452803,46,4.8473575745,403.515535787917,16.66091447,4.1426507248,337.42989494,457.9,2405.0041342,5191.053679631481,1079.404148398841,5191.053679631481
Ashe,North Carolina,817,0.024915859049295143,0.5,26992,404,16.747418802,52,4.516943931,63.5015380029331,15.809505842,3.5921568627,81.246768594,152.1,2911.8136439,3026.8227622999407,1496.7397747480736,3026.8227622999407
Ashland,Ohio,1390,-1.967685565217474,0.9523809523809523,35115.322896281796,486.6947162426615,18.740189182252447,50.41095890410959,3.986565289919765,72.09508240109284,16.645917656133072,4.430473326280039,180.0932840655186,311.0956947162427,2084.6356748547946,3958.385927720405,1385.989579763185,3958.385927720405
Ashley,Arkansas,933,0.024900186648157668,0.5,20989,398,20.452066927,44,5.156390882,22.6822720895971,24.022563465,5.4666146037,320.91965034,463.4,4478.2905206000005,4445.185573395588,1896.2313592834341,4445.185573395588
Ashtabula,Ohio,2767,0.027794819764081612,0.5,99175,1744,21.275717753,46,4.7560232623,141.287676800173,16.773893778,5.2658937329,134.91501999,305.7,3254.4378698,2790.017645576002,1758.5076884295438,2790.017645576002
Asotin,Washington,721,0.02451649368284724,0.5,22113,317,14.357644394,47,4.2889657926,34.7644184251771,15.313680443,4.3533930858,210.83796878,337.3,2944.6971511,3260.525482747705,1433.5458779903224,3260.525482747705
Assumption,Louisiana,1067,0.022830717321505108,0.6,22973,336,21.032197224,46,5.7538175695,67.8344038554991,21.59669348,6.6659210379,318.59642997,412.9,2851.3650152,4644.582771079093,1462.5865146041006,4644.582771079093
Atascosa,Texas,1670,0.023454278273071623,0.5,47710,611,14.394469898,36,4.4138423418,39.121292354812,23.67838846,3.7652374453,222.3809038,818.7,4717.809531399999,3500.314399496961,1280.6539509536785,3500.314399496961
